Publication_id,Cell_viability,Concentration_µg/ml,SiO$_{2}$NP_medium_serum,Cell_morphology,Cell_organ,Primary_size_nm,Cell_id,Exposure_time_h,Surface_modification,Hydrodynamic_size_water_nm,Cell_source,Assay_viability,Surface_area_m2/g,Viability_indicator
1,Non_cytotoxic,50,15%_FBS,endothelial,skin,14,HDMEC,72,unmodified,not_determined,human,MTS,194.8051948,tetrazolium 
1,Non_cytotoxic,5,15%_FBS,endothelial,skin,14,HDMEC,72,unmodified,not_determined,human,MTS,194.8051948,tetrazolium 
2,Non_cytotoxic,10,10%_FBS,epithelial,lung,60,A549,24,unmodified,not_determined,human,LDH,45.45454545,LDH
2,Non_cytotoxic,50,10%_FBS,epithelial,lung,60,A549,24,unmodified,not_determined,human,LDH,45.45454545,LDH
2,Non_cytotoxic,100,10%_FBS,epithelial,lung,60,A549,24,unmodified,not_determined,human,LDH,45.45454545,LDH
2,Non_cytotoxic,200,10%_FBS,epithelial,lung,60,A549,24,unmodified,not_determined,human,LDH,45.45454545,LDH
2,Non_cytotoxic,10,10%_FBS,epithelial,lung,100,A549,24,unmodified,not_determined,human,LDH,27.27272727,LDH
2,Non_cytotoxic,50,10%_FBS,epithelial,lung,100,A549,24,unmodified,not_determined,human,LDH,27.27272727,LDH
2,Non_cytotoxic,100,10%_FBS,epithelial,lung,100,A549,24,unmodified,not_determined,human,LDH,27.27272727,LDH
2,Non_cytotoxic,200,10%_FBS,epithelial,lung,100,A549,24,unmodified,not_determined,human,LDH,27.27272727,LDH
2,Non_cytotoxic,10,10%_FBS,monocyte,blood,60,THP-1,24,unmodified,not_determined,human,LDH,45.45454545,LDH
2,Non_cytotoxic,50,10%_FBS,monocyte,blood,60,THP-1,24,unmodified,not_determined,human,LDH,45.45454545,LDH
2,Non_cytotoxic,100,10%_FBS,monocyte,blood,60,THP-1,24,unmodified,not_determined,human,LDH,45.45454545,LDH
2,Non_cytotoxic,200,10%_FBS,monocyte,blood,60,THP-1,24,unmodified,not_determined,human,LDH,45.45454545,LDH
2,Non_cytotoxic,10,10%_FBS,monocyte,blood,100,THP-1,24,unmodified,not_determined,human,LDH,27.27272727,LDH
2,Non_cytotoxic,50,10%_FBS,monocyte,blood,100,THP-1,24,unmodified,not_determined,human,LDH,27.27272727,LDH
2,Non_cytotoxic,100,10%_FBS,monocyte,blood,100,THP-1,24,unmodified,not_determined,human,LDH,27.27272727,LDH
2,Non_cytotoxic,200,10%_FBS,monocyte,blood,100,THP-1,24,unmodified,not_determined,human,LDH,27.27272727,LDH
2,Non_cytotoxic,10,10%_FBS,monocyte_macrophage,blood,60,Mono_Mac_6,24,unmodified,not_determined,human,LDH,45.45454545,LDH
2,Non_cytotoxic,50,10%_FBS,monocyte_macrophage,blood,60,Mono_Mac_6,24,unmodified,not_determined,human,LDH,45.45454545,LDH
2,Non_cytotoxic,100,10%_FBS,monocyte_macrophage,blood,60,Mono_Mac_6,24,unmodified,not_determined,human,LDH,45.45454545,LDH
2,Non_cytotoxic,200,10%_FBS,monocyte_macrophage,blood,60,Mono_Mac_6,24,unmodified,not_determined,human,LDH,45.45454545,LDH
2,Non_cytotoxic,10,10%_FBS,monocyte_macrophage,blood,100,Mono_Mac_6,24,unmodified,not_determined,human,LDH,27.27272727,LDH
2,Non_cytotoxic,50,10%_FBS,monocyte_macrophage,blood,100,Mono_Mac_6,24,unmodified,not_determined,human,LDH,27.27272727,LDH
2,Non_cytotoxic,100,10%_FBS,monocyte_macrophage,blood,100,Mono_Mac_6,24,unmodified,not_determined,human,LDH,27.27272727,LDH
2,Non_cytotoxic,200,10%_FBS,monocyte_macrophage,blood,100,Mono_Mac_6,24,unmodified,not_determined,human,LDH,27.27272727,LDH
3,Non_cytotoxic,25,10%_FBS,epithelial,cervix,70,HEp-2,24,unmodified,not_determined,human,trypan_blue,38.96103896,dead_cell
3,Non_cytotoxic,25,10%_FBS,epithelial,cervix,70,HEp-2,48,unmodified,not_determined,human,trypan_blue,38.96103896,dead_cell
3,Non_cytotoxic,25,10%_FBS,epithelial,cervix,500,HEp-2,24,unmodified,not_determined,human,trypan_blue,5.454545455,dead_cell
3,Non_cytotoxic,25,10%_FBS,epithelial,cervix,500,HEp-2,48,unmodified,not_determined,human,trypan_blue,5.454545455,dead_cell
4,Non_cytotoxic,10,10%_FBS,epithelial,lung,15,A549,24,unmodified,greater_500,human,sulforhodamine_b ,268.01,cell_mass
4,Non_cytotoxic,50,10%_FBS,epithelial,lung,15,A549,24,unmodified,greater_500,human,sulforhodamine_b ,268.01,cell_mass
4,Non_cytotoxic,100,10%_FBS,epithelial,lung,15,A549,24,unmodified,greater_500,human,sulforhodamine_b ,268.01,cell_mass
